"","x"
"51",4.392258242211
"64",2.59480036096561
"77",2.34555395790453
"90",2.47099703570614
"103",3.25971794790574
"116",4.75212123253857
"129",3.52878595732521
"142",2.90740249106273
"155",2.54843175750523
"168",1.98569162281542
"181",1.74207838009719
"194",1.70344493176788
"207",1.43539069501066
"220",1.23203142472745
"233",1.27937178729335
"246",1.3846945741534
"259",1.43720542267534
"272",1.34717933714197
"285",1.28022933274639
"298",1.27384882682158
"311",1.25984931879265
"324",1.27164938921337
"337",1.31799533546671
"350",1.36605698762976
"363",1.35961439359824
"376",1.29138293816436
"389",1.25286943267552
"402",1.23046537685549
"415",1.21003065061534
"428",1.17916558957779
"441",1.15671701555165
"454",1.14636333367319
"467",1.13148854310764
"480",1.12094127358622
"493",1.11183336896481
"506",1.11081396050727
"519",1.12180370077689
"532",1.11595943282958
"545",1.10111508107986
"558",1.0931973891932
"571",1.08412939504425
"584",1.08904491510426
"597",1.13031399612867
"610",1.19003362198189
"623",1.241109613879
"636",1.29539704055601
"649",1.34892723535752
"662",1.43675585316362
"675",1.58953649186853
"688",1.72542718658038
"701",1.8239368978414
"714",1.81280621286432
"727",1.77103353704919
"740",1.75808361130062
"753",1.7583214175062
"766",1.79614655612767
"779",1.79248847770519
"792",1.75240341535227
"805",1.65891114016395
"818",1.56452058366228
"831",1.48681163298327
"844",1.45033716620523
"857",1.42539410554348
"870",1.40299256817765
"883",1.37543668372927
"896",1.34141878045008
"909",1.31384442250819
"922",1.28837063614804
"935",1.26112435901771
"948",1.24179095720566
"961",1.2164838699275
"974",1.20657608725056
"987",1.20012698923162
"1000",1.19600724290668
"1013",1.19060697158879
"1026",1.18740681787408
"1039",1.19025866099597
"1052",1.20184305203938
"1065",1.22542852311021
"1078",1.25395528102242
"1091",1.29363888307931
"1104",1.31859489209617
"1117",1.33456104900777
"1130",1.35548065987326
"1143",1.3806119312062
"1156",1.40997883020831
"1169",1.43021754690856
"1182",1.42740910792251
"1195",1.41420832887279
"1208",1.39305466394874
"1221",1.37555144914208
"1234",1.37558187984936
"1247",1.37122588535387
"1260",1.36176266270838
"1273",1.35710531106419
"1286",1.35555576926644
"1299",1.3456117881423
"1312",1.34313029488751
"1325",1.34705417765263
"1338",1.35094256998455
"1351",1.35545812705047
"1364",1.35956987726708
"1377",1.36060609106192
"1390",1.35616809684485
"1403",1.35160897465599
"1416",1.36389757057731
"1429",1.38282161770158
"1442",1.38246290176681
"1455",1.37705434364552
"1468",1.38047647187733
"1481",1.38808745791476
"1494",1.39532855444165
"1507",1.38986234610963
"1520",1.37871560159254
"1533",1.37822317297168
"1546",1.38470165361757
"1559",1.38867164831099
"1572",1.39483479292434
"1585",1.40941961963266
"1598",1.42669136825585
"1611",1.43821382499562
"1624",1.44440880883621
"1637",1.45056536654037
"1650",1.46355807213317
"1663",1.4776009356679
"1676",1.48971260273345
"1689",1.4946043205755
"1702",1.50536394825136
"1715",1.51835949381137
"1728",1.53639426275596
"1741",1.54563604988882
"1754",1.53691767150917
"1767",1.5245404884439
"1780",1.48944814883769
"1793",1.46605375518598
"1806",1.43086361767639
"1819",1.40226346165015
"1832",1.37578107339451
"1845",1.36897636114794
"1858",1.36689394157199
"1871",1.37550583729698
"1884",1.38429016893049
"1897",1.39751301414399
"1910",1.4021901637427
"1923",1.40417678432859
"1936",1.40784173725404
"1949",1.40415050682686
"1962",1.39844456344832
"1975",1.39145301857501
"1988",1.3735622170201
"2001",1.34949177990035
"2014",1.32337584044254
"2027",1.29660146581551
"2040",1.27252987327564
"2053",1.25086713027423
"2066",1.23395937973193
"2079",1.21651464902512
"2092",1.19952609669994
"2105",1.18839186594359
"2118",1.18511306569229
"2131",1.18245983556416
"2144",1.18058254191636
"2157",1.17410958468482
"2170",1.16402369742312
"2183",1.15244843430616
"2196",1.14417370764261
"2209",1.13089951490395
"2222",1.11344203221943
"2235",1.09646637733435
"2248",1.0831602107611
"2261",1.07261061486322
"2274",1.06286250400191
