"","x"
"51",6.94354193528248
"64",10.0932253611103
"77",11.5340821932309
"90",11.0807013894321
"103",7.18813340755145
"116",3.33207902291155
"129",2.34391530821388
"142",1.97666075985959
"155",1.7164001397555
"168",1.56830035612005
"181",1.47059392666473
"194",1.40584858275435
"207",1.33100993323832
"220",1.24411248426537
"233",1.17823112988501
"246",1.16035547301795
"259",1.14442000381037
"272",1.14083159006572
"285",1.16293019955764
"298",1.18214580431379
"311",1.20075143423261
"324",1.21370115813877
"337",1.237234265025
"350",1.25299880509964
"363",1.26270531500759
"376",1.27218132110435
"389",1.31672161976217
"402",1.36502538006612
"415",1.42442851915839
"428",1.43427664029561
"441",1.46427571462481
"454",1.4822680186066
"467",1.52899734756105
"480",1.55490072094823
"493",1.61574420190629
"506",1.67156248139654
"519",1.73392358540592
"532",1.78881903718213
"545",1.86728022817167
"558",1.8996749698933
"571",1.96606123452786
"584",2.03227110948338
"597",2.10472259304179
"610",2.19150803336581
"623",2.28637011088329
"636",2.34137144705746
"649",2.38532849077909
"662",2.32991623565752
"675",2.30778145647925
"688",2.30840621400396
"701",2.29038434476115
"714",2.2603789695398
"727",2.25531635972642
"740",2.19923775054552
"753",2.17506280816849
"766",2.17911851279788
"779",2.16439835768631
"792",2.16135123357094
"805",2.18379416589751
"818",2.19560026620074
"831",2.2127109783287
"844",2.21799752196163
"857",2.21130661899769
"870",2.23075380086801
"883",2.22797722121682
"896",2.21516840554475
"909",2.16559692178144
"922",2.11794201750404
"935",2.02596412247022
"948",1.9412632797133
"961",1.88723098881864
"974",1.83089004354518
"987",1.80742143791704
"1000",1.7812233992354
"1013",1.7548557438336
"1026",1.72957872548394
"1039",1.68415595151707
"1052",1.65587144782482
"1065",1.61441109117429
"1078",1.58298216862305
"1091",1.56020048085142
"1104",1.54829306565435
"1117",1.53635441481106
"1130",1.510573727688
"1143",1.50149293784649
"1156",1.47511686748184
"1169",1.45479097480104
"1182",1.4323140642865
"1195",1.41943719791465
"1208",1.4229316527803
"1221",1.40220787383027
"1234",1.3810385891842
"1247",1.35700592649661
"1260",1.34426012100041
"1273",1.32529776390704
"1286",1.31203106282391
"1299",1.2908569948199
"1312",1.27041724730772
"1325",1.25419153437246
"1338",1.24248730814425
"1351",1.22440367017243
"1364",1.21552189631476
"1377",1.20493007015569
"1390",1.19768479289608
"1403",1.19325967129281
"1416",1.18736559877527
"1429",1.17789549280484
"1442",1.16809395777578
"1455",1.15885691652767
"1468",1.14896530694242
"1481",1.14021559575601
"1494",1.13319641633181
"1507",1.12188627992118
"1520",1.11394980505466
"1533",1.10747400314523
"1546",1.10437318719666
"1559",1.10049523014283
"1572",1.09577534619268
"1585",1.09078380921843
"1598",1.08733562305898
"1611",1.08684581737884
"1624",1.09051491824797
"1637",1.09119452342586
"1650",1.0913728762855
"1663",1.08947381514283
"1676",1.09207587756081
"1689",1.09426115151531
"1702",1.0969370100543
"1715",1.09915965336373
"1728",1.1003589863297
"1741",1.10122705016135
"1754",1.10055749717527
"1767",1.09951344167993
"1780",1.10022777884682
"1793",1.0985670306189
"1806",1.09832180810176
"1819",1.10034667450124
"1832",1.1034756794822
"1845",1.106687514916
"1858",1.11009089371417
"1871",1.11374630758393
"1884",1.11959664469248
"1897",1.12807790978348
"1910",1.13092772350068
"1923",1.13175540247609
"1936",1.124523317967
"1949",1.11677553766923
"1962",1.11399061014549
"1975",1.11256650668612
"1988",1.1117421799253
"2001",1.11528585170715
"2014",1.12179494863289
"2027",1.12520101119222
"2040",1.12882872824309
"2053",1.13216113979427
"2066",1.13190377387041
"2079",1.13612749570794
"2092",1.14020888805959
"2105",1.14590195894828
"2118",1.14498470627447
"2131",1.14076194372533
"2144",1.14037984752905
"2157",1.14032554696091
"2170",1.14419494193754
"2183",1.1461929629846
"2196",1.14848131677005
"2209",1.15285516184281
"2222",1.15644893887434
"2235",1.16156791533451
"2248",1.1681663143129
"2261",1.17216493838678
"2274",1.18463872977691
"2287",1.19901542213733
"2300",1.21474572594818
"2313",1.22264745583552
"2326",1.22389832339233
"2339",1.22563840940394
"2352",1.23358428283983
"2365",1.23168737716189
"2378",1.23372584731274
"2391",1.2413847491581
"2404",1.24360078307546
"2417",1.24621925397498
"2430",1.25146810269121
"2443",1.25452270313786
"2456",1.26117035152219
"2469",1.27408929342646
"2482",1.28317702252868
"2495",1.28625224692208
"2508",1.28234592231861
"2521",1.27507024691043
"2534",1.27047993152573
"2547",1.2666789833941
"2560",1.27371413030685
"2573",1.28481759486078
"2586",1.29784808865088
"2599",1.32003802229119
"2612",1.33942296928655
"2625",1.35680206527659
"2638",1.35660503999281
