-63712,-57161,-60420
-59315,-40837,-33923
-59174,-33041,-33920
-33205,-32543,-29402
-33206,-29006,-29381
-33150,-29074,-29378
-33033,-29060,-29378
-32964,-29059,-29286
-31854,-29036,-29235
-31847,-29035,-29200
-31069,-28776,-29196
-30713,-28623,-29197
-30234,-28622,-29220
-30234,-28609,-29215
-30232,-28605,-29171
-30209,-28605,-28713
-30208,-28603,-28706
-30208,-28598,-28690
-29981,-28589,-28495
-29968,-28584,-28290
-29832,-28584,-28204
-29566,-28556,-28196
-29536,-28548,-28192
-29478,-28547,-28190
-29463,-28542,-28226
-29466,-28494,-28223
-29464,-28468,-28179
-29381,-28445,-28179
-29334,-28436,-28171
-29329,-28415,-28177
-29320,-28335,-28165
-29091,-28334,-28154
-29090,-28349,-28151
-29074,-28361,-28149
-29073,-28357,-28157
-29070,-28361,-28156
-29042,-28308,-28149
-29032,-28290,-28142
-29009,-28266,-28148
-29009,-28252,-28147
-29003,-28247,-28147
-28993,-28246,-28140
-28962,-28233,-28142
-28961,-28223,-28135
-28935,-28212,-28140
-28935,-28207,-28130
-28936,-28206,-28129
-28919,-28206,-28120
-28919,-28204,-28110
-28919,-28205,-28120
-28914,-28197,-28119
-28911,-28193,-28099
-28904,-28194,-28083
-28904,-28192,-28077
-28898,-28167,-28073
-28892,-28161,-28062
-28899,-28151,-28061
-28890,-28146,-28036
-28879,-28139,-28036
-28873,-28122,-28031
-28850,-28118,-28031
-28841,-28108,-28029
-28824,-28104,-28029
-28819,-28103,-28023
-28824,-28109,-28008
-28828,-28109,-28007
-28822,-28093,-28006
-28820,-28092,-28010
-28822,-28092,-28015
-28817,-28090,-28015
-28812,-28091,-28011
-28813,-28084,-28009
-28808,-28082,-28005
-28808,-28098,-28005
-28815,-28093,-28005
-28812,-28091,-27997
-28811,-28037,-27997
-28810,-28031,-27984
-28810,-28032,-27985
-28777,-28041,-27969
-28770,-28037,-27954
-28765,-28036,-27952
-28775,-28033,-27957
-28749,-28032,-27956
-28757,-28031,-27948
-28738,-28023,-27946
-28747,-28020,-27947
-28736,-28015,-27968
-28745,-28016,-27934
-28731,-28015,-27962
-28695,-28012,-27948
-28697,-28008,-27949
-28698,-28011,-27945
-28693,-28011,-27945
-28673,-27965,-27952
-28670,-27956,-27951
-28596,-27955,-27925
-28547,-27969,-27920
-28489,-27966,-27910
-28489,-27966,-27906
-28489,-27962,-27905
-28373,-27945,-27899
-28362,-27945,-27896
-28310,-27943,-27895
-28244,-27941,-27896
-28244,-27939,-27889
-28245,-27934,-27879
-28244,-27934,-27879
-28242,-27928,-27873
-28155,-27927,-27869
-28043,-27931,-27866
-28042,-27930,-27851
-28018,-27930,-27851
-28018,-27938,-27851
-28018,-27934,-27844
-28017,-27930,-27845
-28017,-27920,-27843
-28015,-27918,-27847
-28000,-27910,-27855
-28000,-27908,-27850
-27992,-27906,-27856
-27993,-27907,-27864
-27957,-27908,-27850
-27967,-27907,-27853
-27965,-27907,-27855
-27962,-27904,-27858
-27962,-27903,-27853
-27978,-27907,-27853
