"","x"
"51",4.48669622673877
"71",3.03480168558732
"91",1.74440600168026
"111",1.46547919917008
"131",1.29654460639706
"151",1.27974490406793
"171",1.05210683709871
"191",1.06939108423444
"211",1.0648552436559
"231",1.04000664033085
"251",1.01396131848315
"271",1.00780252575123
"291",1.01014295090924
"311",1.0202149923981
"331",1.02322487216931
"351",1.03984257718914
"371",1.06003172864965
"391",1.0437027294802
"411",1.05703491682971
"431",1.05577434755267
"451",1.07705126872157
"471",1.06849886835401
"491",1.08249594323689
"511",1.0787884150188
"531",1.08601668956517
"551",1.07426515840403
"571",1.0530159038291
"591",1.05120464088534
"611",1.04243424377679
"631",1.04163197530915
"651",1.03109973690746
"671",1.01786465951679
"691",1.01669972697502
"711",1.01692640550542
"731",1.01874268346855
"751",1.01636737252013
"771",1.02411729363285
"791",1.02369860676832
"811",1.02089996301412
"831",1.02438203221342
"851",1.03595861557549
"871",1.05478626723156
"891",1.06462901292016
"911",1.07544979337337
"931",1.07833312477465
"951",1.08729219707449
"971",1.09140918436442
"991",1.08975991309904
"1011",1.07486586515532
"1031",1.05164491194979
"1051",1.04969360384219
"1071",1.03872902717365
"1091",1.03211384250363
"1111",1.02745604773935
"1131",1.02192507545972
"1151",1.020552012203
"1171",1.02141105665894
"1191",1.01953830696684
"1211",1.02282886137359
"1231",1.0157538940613
"1251",1.01118494085704
"1271",1.00958809126534
"1291",1.0088169525283
"1311",1.00855018082642
"1331",1.00857849561197
"1351",1.00676702056718
"1371",1.00705467567198
"1391",1.00721420779549
"1411",1.00828559147503
"1431",1.00785039865515
"1451",1.0086452766038
"1471",1.0096901368572
"1491",1.00971872410032
"1511",1.01013502034116
"1531",1.00938817263693
"1551",1.01004226346995
"1571",1.01298047124866
"1591",1.01357494264903
"1611",1.01308179139858
"1631",1.01278526784764
"1651",1.01064146021449
"1671",1.01029678742051
"1691",1.00785482886285
"1711",1.00484967199971
"1731",1.00386221576448
"1751",1.00371157511978
"1771",1.00296117254562
"1791",1.00346150181305
"1811",1.00353248932299
"1831",1.00401826294203
"1851",1.00482780954663
"1871",1.00454760614453
"1891",1.0040019598564
"1911",1.00411578224723
"1931",1.00549371090964
"1951",1.00759433011534
"1971",1.01031840096258
"1991",1.01340404555971
"2011",1.01399456887385
"2031",1.01053827093109
"2051",1.00830401985903
"2071",1.00693515605445
"2091",1.00652135836383
"2111",1.0067421261967
"2131",1.00639926929869
"2151",1.00395626117202
"2171",1.00586611522461
"2191",1.00699535171538
"2211",1.00714735732537
"2231",1.00625227090373
"2251",1.00481495454402
"2271",1.00425280153698
"2291",1.00473567031765
"2311",1.00424414738659
"2331",1.00424353760006
"2351",1.00474848681846
"2371",1.00430025603387
"2391",1.0046071288151
"2411",1.00460880931602
"2431",1.00421963907193
"2451",1.00372871872894
"2471",1.00326666008942
"2491",1.00339880146214
"2511",1.00305273331396
"2531",1.00281536880449
"2551",1.00290661773424
"2571",1.00293856794019
"2591",1.00257878151987
"2611",1.00202252109153
"2631",1.00204905322311
"2651",1.00232996416226
