"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563"
"CATMA3a13510",11.41553589,11.25264747,11.45773185,11.12295755,11.24414079,11.33871339,11.55846964,11.37565299,11.81815618,11.3497734,10.92752668,11.11004796,10.80740533,10.88786567,10.91454344,10.61660375,10.90481885,11.32202712,11.05884661,11.06034899,10.92140145,10.60741691,11.04927456,10.59450232
"CATMA3a14290",11.63037667,10.94228091,11.21151026,11.04645774,11.29242747,11.42059173,11.14875826,10.77231375,10.84016569,11.19346418,10.93386772,10.8244097,9.910337214,9.505403465,9.795215426,9.24796748,9.36442497,9.43699162,9.742559591,9.58239687,9.467745531,9.284809775,9.897788308,10.16448184
"CATMA3a14565",11.28212808,11.57969095,11.50589796,11.38070904,11.37412915,11.24922433,11.48332607,11.41135359,12.05330285,11.86084306,12.74529866,12.40977014,13.85301955,13.5205211,13.23966992,13.69554035,13.09812984,12.78130171,13.24272521,12.73629679,12.5599853,12.29306689,12.69652392,12.52533224
"CATMA3a14910",8.609151231,8.055708409,8.025445479,8.130661329,8.270692457,7.670366085,8.733079947,9.001831852,9.735504467,9.463617368,11.32615178,12.3497294,14.19149137,14.11412012,14.27374627,14.30226745,13.97120091,13.50603423,14.2849664,14.21867527,13.70963007,13.75571064,13.8660425,13.65617442
"CATMA3a16510",14.42079625,13.87361442,13.9347086,13.8854493,13.73512537,13.5555136,13.58744217,13.82958237,13.43432949,13.87280699,14.42537936,14.31322189,14.95784081,15.11234646,14.74270941,15.10721801,14.92420683,14.60798292,14.94295275,14.93528661,15.0404729,15.0525518,14.71385119,14.75978277
"CATMA3a18300",11.5195702,11.68983622,11.59432299,11.49018047,11.61402979,11.56577077,11.47222432,11.34590581,11.61422126,11.44947412,12.08300676,12.17492125,12.78815212,12.98339585,12.50461457,12.81424474,12.50613503,12.27511064,12.75961764,12.50775482,12.67866114,12.35897747,12.64016356,12.72654135
"CATMA3a19200",8.905024818,8.983438274,9.459938224,9.60210729,9.302719084,9.81195546,9.921733559,10.38698873,10.38576182,9.455773952,10.23789073,10.0717565,10.57949927,10.65449474,10.70956704,10.36874491,10.39086901,10.46596978,11.31691878,11.26617697,10.79005978,11.22265652,10.49378864,10.43472192
"CATMA3a19345",14.42818858,14.81765826,14.52687355,14.71640128,14.83096182,14.20389504,14.45823524,15.03135418,15.14639977,14.96552264,14.39340427,14.87780271,12.66414461,12.11267552,11.68770462,11.65924905,11.9303147,12.72513126,12.79954797,12.71073761,12.98377907,13.63040534,13.43822004,14.65879989
"CATMA3a21500",10.7184517,10.57088928,10.52145327,10.37554929,10.30404882,10.52261753,10.23298434,10.60088329,10.48834881,10.6653213,10.9885321,11.201694,11.50159996,11.5603405,11.40681283,10.77211998,11.33741015,11.03429503,11.31610618,11.25915494,11.21359902,11.01763097,11.34771984,11.13185078
"CATMA3a21640",7.692001585,7.968464829,8.045251825,7.785835601,8.049554876,8.427474061,8.115278765,8.422719076,8.483791662,8.173494467,9.083142777,9.224950848,9.895539346,9.308989888,9.074533189,8.919572877,8.501513613,8.440908525,8.843847585,8.446610617,8.71405094,8.766730373,8.689917849,8.775976984
